date,ip,attack_type,threat_theme,threat_level,is_malicious,abuseip_score,usage_type,abuseip_categories,abuseip_distinct_users,abuseip_last_reported,country,asn,isp,infra_owner
22-04-26,1.178.86.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS16509,Amazon,Amazon
22-04-26,34.89.198.80,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,"14,15,18,20,21",3,2026-04-12T07:04:54+00:00,Germany,AS396982,Google,Google
22-04-26,156.200.99.53,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2024-12-16T05:00:32+00:00,Egypt,AS8452,TE,Unknown
22-04-26,103.85.104.41,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Myanmar,AS136255,International Myanmar,Unknown
12-05-25,205.169.39.55,exploit_delivery,general_threat,2,1,0,Fixed Line ISP,"14,15,16,18,19,20,21,22",25,2026-04-21T20:32:06+00:00,United States,AS3356,CenturyLink,Palo Alto
22-04-26,104.255.59.208,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Thailand,AS16509,Amazon,Amazon
22-04-26,13.166.0.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS16509,Amazon,Amazon
22-04-26,1.0.149.53,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS23969,TOT,TOT
22-04-26,66.249.72.128,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,"14,15,18,19,20,21",2,2026-04-03T01:21:56+00:00,United States,AS15169,Google,Google
22-04-26,66.249.67.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS15169,Google,Google
22-04-26,13.104.252.208,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS8075,Microsoft,Microsoft
29-08-25,1.222.84.29,espionage,general_threat,1,1,0,Commercial,No_Reports,0,Never_Reported,South Korea,AS3786,LG DACOM,Boranet
29-08-25,167.88.175.175,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Singapore,AS14956,RouterHosting,FranTech
29-08-25,172.86.108.11,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,2024-06-26T16:41:11+00:00,United States,AS14956,RouterHosting,FranTech
22-04-26,45.90.30.143,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,United States,AS34939,nextdns,nextdns
22-04-26,58.110.197.35,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Australia,AS4804,SingTel Optus,Optus
22-04-26,200.24.131.179,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2025-02-02T02:38:38+00:00,Ecuador,AS52468,UFINET Guatemala S. A,Negocios Y Telefonia Nedetel S.A
22-04-26,103.187.98.191,none,verified_service,0,0,30,Fixed Line ISP,"14,18,19,20,21",7,2026-04-12T06:57:08+00:00,Bangladesh,AS139009,Windstream,Neajul Haque Hitu
22-04-26,15.152.0.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Japan,AS16509,Amazon,Amazon
12-05-25,107.173.135.116,exploit_delivery,general_threat,2,1,27,Data Center/Web Hosting/Transit,"18,19,14,15",12,2026-03-06T05:00:59+00:00,United States,AS36352,HostPapa,ColoCrossing
22-04-26,103.246.148.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Singapore,AS16509,Amazon,Amazon
22-04-26,91.82.105.118,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Hungary,AS12301,INVITEL Zrt,Kerepesi 3 Kft
22-04-26,1.0.148.154,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS23969,TOT,TOT
16-10-25,172.245.68.110,exploit_delivery,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,2024-07-04T07:17:36+00:00,United States,AS36352,HostPapa,ColoCrossing
22-04-26,46.229.58.57,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Ukraine,AS201948,ITKOM PE,ITKOM PE
22-04-26,102.133.120.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Africa,AS8075,Microsoft,Microsoft
22-04-26,66.249.73.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS15169,Google,Google
22-04-26,104.255.59.196,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Malaysia,AS16509,Amazon,Amazon
29-08-25,172.86.106.234,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,2025-02-06T19:01:31+00:00,United States,AS14956,RouterHosting,FranTech
22-04-26,78.140.154.65,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Netherlands,AS35415,Webzilla B.V,Webzilla B.V
22-04-26,102.37.176.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Africa,AS8075,Microsoft,Microsoft
22-04-26,102.37.128.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Africa,AS8075,Microsoft,Microsoft
22-04-26,46.19.100.26,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2022-07-16T21:44:27+00:00,Armenia,AS49800,GNC-Alfa CJSC,Smoisp
20-02-26,134.122.154.171,unknown_attack,general_threat,3,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Singapore,AS152194,CTG Server,Rackip Consultancy Pte
22-04-26,45.90.31.148,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,United States,AS34939,nextdns,nextdns
22-04-26,104.153.116.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS16509,Amazon,Amazon
22-04-26,1.0.152.148,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS23969,TOT,TOT
22-04-26,1.0.156.146,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS23969,TOT,TOT
22-04-26,1.0.149.164,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS23969,TOT,TOT
22-04-26,13.107.6.152,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS8068,Microsoft,Microsoft
22-04-26,210.213.218.169,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Philippines,AS9299,Philippine Long Distance Telephone,Philippine Long Distance Telephone
22-04-26,88.119.17.38,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Lithuania,AS8764,Telia Lietuva,Telia Lietuva
22-04-26,122.248.192.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Singapore,AS16509,Amazon,Amazon
22-04-26,1.0.148.120,none,verified_service,0,0,0,Fixed Line ISP,"20,14,15",10,2026-02-16T03:36:29+00:00,Thailand,AS23969,TOT,TOT
22-04-26,104.44.88.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS8075,Microsoft,Microsoft
22-04-26,1.179.14.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United Kingdom,AS16509,Amazon,Amazon
22-04-26,13.128.0.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS16509,Amazon,Amazon
22-04-26,13.106.38.148,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS8075,Microsoft,Microsoft
22-04-26,192.178.5.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS15169,Google,Google
22-04-26,181.191.162.127,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Brazil,AS267426,Aqui - ME,Gol Banda Larga
22-04-26,1.0.217.63,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2022-12-07T12:42:49+00:00,Thailand,AS23969,TOT,TOT
22-04-26,102.133.192.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Africa,AS8075,Microsoft,Microsoft
22-04-26,102.37.160.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Africa,AS8075,Microsoft,Microsoft
22-04-26,148.77.113.94,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,United States,AS6128,Cablevision,Wilson Orthopaedics
22-04-26,1.0.150.221,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS23969,TOT,TOT
29-08-25,45.61.149.62,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS14956,RouterHosting,FranTech
29-08-25,74.48.78.66,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,2025-02-06T23:46:59+00:00,United States,AS35916,Multacom,TELUS
22-04-26,34.151.74.144,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2024-11-14T15:14:02+00:00,Australia,AS396982,Google,Google
22-04-26,13.107.21.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Canada,AS8068,Microsoft,Microsoft
22-04-26,216.248.70.122,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,United States,AS62825,Aureon,Walnut Telephone
22-04-26,66.249.64.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS15169,Google,Google
22-04-26,5.194.87.154,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,United Arab Emirates,AS5384,EMIRATES (ETISALAT,EMIRATES (ETISALAT
22-04-26,13.107.48.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS8068,Microsoft,Microsoft
18-02-26,104.156.239.98,unknown_attack,general_threat,3,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Japan,AS20473,The Constant,The Constant
22-04-26,128.251.0.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Ireland,AS8075,Microsoft,Microsoft
22-04-26,52.122.0.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS8069,Microsoft,Microsoft
22-04-26,13.107.4.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Canada,AS8068,Microsoft,Microsoft
18-02-26,149.248.11.71,unknown_attack,general_threat,3,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS20473,The Constant,The Constant
22-04-26,95.174.201.114,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Russia,AS56981,ER- Holding,New Telesystems
22-04-26,40.108.128.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS8075,Microsoft,Microsoft
22-04-26,168.195.241.89,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2025-02-05T00:17:09+00:00,Brazil,AS262982,Nardi & Cano,Nardi & Cano
22-04-26,34.80.50.80,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2024-10-15T22:19:30+00:00,Taiwan,AS396982,Google,Google
22-04-26,66.249.79.128,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,18,1,2026-04-09T04:19:21+00:00,United States,AS15169,Google,Google
22-04-26,13.107.40.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Brazil,AS8068,Microsoft,Microsoft
22-04-26,150.171.32.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS8068,Microsoft,Microsoft
22-04-26,1.0.155.156,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2022-04-14T19:05:12+00:00,Thailand,AS23969,TOT,TOT
22-04-26,1.0.136.223,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS23969,TOT,TOT
22-04-26,84.53.217.83,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2022-12-23T00:55:10+00:00,Russia,AS34168,Elcom ISP,Vladimir_branch_RT
22-04-26,122.154.129.54,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS9931,Comm. Dept. National,CAT
22-04-26,61.83.171.53,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,South Korea,AS4766,Korea,Chungbukbonbujang
22-04-26,1.0.144.86,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS23969,TOT,TOT
22-04-26,1.0.133.100,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2023-10-27T14:20:41+00:00,Thailand,AS23969,TOT,TOT
22-04-26,1.0.145.175,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS23969,TOT,TOT
22-04-26,66.249.72.64,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,"20,14,15",1,2026-04-14T09:06:44+00:00,United States,AS15169,Google,Google
05-09-25,44.215.108.109,brute_force,cloud_services,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS14618,Amazon,Amazon
22-04-26,1.0.0.19,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,Australia,AS13335,Cloudflare,Cloudflare
22-04-26,1.0.150.138,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2023-03-23T21:54:40+00:00,Thailand,AS23969,TOT,TOT
22-04-26,13.104.252.224,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,India,AS8075,Microsoft,Microsoft
22-04-26,81.218.223.12,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Israel,AS8551,Bezeq,Bezeq
22-04-26,1.0.145.178,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS23969,TOT,TOT
22-04-26,87.19.252.102,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Italy,AS3269,Italia S.p.A. TIN EASY LITE,INTERBUSINESS
22-04-26,186.1.180.122,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Colombia,AS27837,Dialnet de Colombia S.A,Dialnet de Colombia S.A
22-04-26,1.0.132.140,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS23969,TOT,TOT
29-08-25,103.253.40.199,espionage,general_threat,1,1,0,Fixed Line ISP,No_Reports,0,Never_Reported,Hong Kong,AS133398,Tele Asia,RMP Protection
29-08-25,45.61.165.157,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS14956,RouterHosting,FranTech
22-04-26,1.4.200.157,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2025-08-20T22:45:56+00:00,Thailand,AS23969,TOT,TOT
22-04-26,1.172.179.226,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Taiwan,AS3462,Chunghwa,Chunghwa
22-04-26,102.133.64.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,South Africa,AS8075,Microsoft,Microsoft
12-05-25,47.97.42.177,exploit_delivery,general_threat,2,1,0,Data Center/Web Hosting/Transit,No_Reports,0,2025-09-13T19:26:32+00:00,China,AS37963,Alibaba,Alibaba
22-04-26,1.0.141.217,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2024-12-12T06:31:16+00:00,Thailand,AS23969,TOT,TOT
20-02-26,31.40.204.103,unknown_attack,general_threat,3,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Türkiye,AS44382,Fiba Operation,White Label
22-04-26,165.73.125.194,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2021-11-15T18:51:44+00:00,South Africa,AS37611,Afrihost,AFRIHOST SP
29-08-25,91.231.186.227,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United Kingdom,AS62240,Clouvider,BlueVPS OU
22-04-26,104.255.59.130,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Australia,AS16509,Amazon,Amazon
22-04-26,1.0.150.170,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2021-04-01T03:20:58+00:00,Thailand,AS23969,TOT,TOT
22-04-26,13.105.14.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS8075,Microsoft,Microsoft
22-04-26,13.107.224.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Canada,AS8075,Microsoft,Microsoft
22-04-26,34.147.110.144,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,2024-08-01T06:40:57+00:00,Netherlands,AS396982,Google,Google
22-04-26,67.182.97.110,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,United States,AS7922,Comcast,Comcast
29-08-25,190.131.194.90,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Colombia,AS262191,Columbus,Liberty
22-04-26,1.0.156.233,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS23969,TOT,TOT
01-02-26,146.0.41.207,espionage,mobile_devices,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Germany,AS24961,WIIT AG,Myloc De Steffenruehl
22-04-26,103.183.68.8,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Bangladesh,AS149638,Elma Multimedia,Asif Chowdhury
22-04-26,116.129.226.128,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2024-01-06T15:21:28+00:00,China,AS10206,China Unicom,Amazon
22-04-26,1.0.150.137,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,2025-12-22T23:40:10+00:00,Thailand,AS23969,TOT,TOT
22-04-26,104.255.57.176,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS16509,Amazon,Amazon
22-04-26,46.253.128.38,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Russia,AS41957,Directive,Directive
22-04-26,13.107.213.0,none,verified_service,0,0,0,Content Delivery Network,No_Reports,0,Never_Reported,Canada,AS8075,Microsoft,Microsoft
22-04-26,104.255.58.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Spain,AS16509,Amazon,Amazon
12-05-25,85.106.113.168,exploit_delivery,general_threat,2,1,0,Fixed Line ISP,No_Reports,0,2025-10-05T18:44:42+00:00,Türkiye,AS9121,Turk Telekomunikasyon A.S,TurkTelecom
21-07-25,103.186.30.186,exploit_delivery,cloud_services,4,1,25,Data Center/Web Hosting/Transit,"14,15,18,19,21,22",12,2026-02-25T20:13:50+00:00,Indonesia,AS141892,CV Andhika Pratama Sanggoro,SMK Adi Sanggoro
22-04-26,83.248.203.136,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Sweden,AS1257,COMHEM,Tele2
22-04-26,104.255.59.102,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Indonesia,AS16509,Amazon,Amazon
22-04-26,1.0.153.181,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS23969,TOT,TOT
22-04-26,83.167.101.221,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Russia,AS15582,AKADO-Stolitsa,AKADO-Stolitsa
22-04-26,5.42.58.241,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Russia,AS39493,CJSC Kolomna-Sviaz TV,SVKTV-GARANTIA
22-04-26,13.106.38.142,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS8075,Microsoft,Microsoft
22-04-26,195.135.68.145,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,France,AS8399,Sewan SAS,SEWAN
22-04-26,13.105.114.208,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS8075,Microsoft,Microsoft
22-04-26,108.166.240.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS16509,Amazon,Amazon
12-05-25,101.99.91.107,exploit_delivery,general_threat,2,1,0,Data Center/Web Hosting/Transit,No_Reports,0,2025-10-04T09:12:13+00:00,Malaysia,AS45839,Shinjiru Sdn Bhd,Shinjiru Sdn Bhd
22-04-26,1.0.136.190,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Thailand,AS23969,TOT,TOT
22-04-26,40.96.0.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Australia,AS8075,Microsoft,Microsoft
22-04-26,108.166.244.0,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS16509,Amazon,Amazon
29-08-25,212.236.17.237,espionage,general_threat,1,1,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,Austria,AS8245,Video-Broadcast,Video-Broadcast
22-04-26,104.255.56.3,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS16509,Amazon,Amazon
22-04-26,104.47.217.71,none,verified_service,0,0,0,Data Center/Web Hosting/Transit,No_Reports,0,Never_Reported,United States,AS8075,Microsoft,Microsoft
22-04-26,62.74.243.154,none,verified_service,0,0,0,Fixed Line ISP,No_Reports,0,Never_Reported,Greece,AS3329,Vodafone,Vodafone
